Assembly No,Assembly Name,Panchayat (मुख्य शहर/ गाँव),Booth No,Booth Name,Total voters,Male voters,Female voters
72,सिंहेश्वर,बेहरारी,146,"उत्क्रमित मध्य विद्यालय, कोल्हुआ, पूरब टोला, दक्षिण पश्चिम",908,460,448
72,सिंहेश्वर,गोरराहा,147,"उत्क्रमित मध्य विद्यालय, गोरराहा",805,436,369
72,सिंहेश्वर,गिद्धा,148,"उत्क्रमित उच्च माध्यमिक विद्यालय, हसनपुरा, बायाँ भाग पुराना",665,335,330
72,सिंहेश्वर,गिद्धा,149,"उत्क्रमित उच्च माध्यमिक विद्यालय, हसनपुरा, दायाँ भाग पुराना",763,395,367
72,सिंहेश्वर,पिपराही,15,"उत्क्रमित मध्य विद्यालय पिपराही नं0-1, पुरव. बांया भाग",951,490,461
72,सिंहेश्वर,चम्पानगर,150,"उत्क्रमित मध्य विद्यालय, चम्पानगर गिद्धा, वायाँ भाग पूरब",810,413,397
72,सिंहेश्वर,चम्पानगर,151,"उत्क्रमित मध्य विद्यालय, चम्पानगर गिद्धा, दायाँ भाग उत्तर",863,438,425
72,सिंहेश्वर,चम्पानगर,152,"उत्क्रमित मध्य विद्यालय, चम्पानगर गिद्धा, पुराना भवन पूरब",829,410,419
72,सिंहेश्वर,बगवियानी,153,"उत्क्रमित मध्य विद्यालय, बगबियानी, दायां भाग",726,326,400
72,सिंहेश्वर,बगवियानी,154,"उत्क्रमित मध्य विद्यालय, बघवियानी, बायां भाग",752,399,353
72,सिंहेश्वर,गिद्धा,155,"प्राथमिक विद्यालय, कजरा हिन्दी, बायां भाग",916,459,457
72,सिंहेश्वर,कजरा,156,"प्राथमिक विद्यालय, कजरा हिन्दी, दायां भाग",824,420,404
72,सिंहेश्वर,जिरवा,157,"उत्क्रमित मध्य विद्यालय, निशिहरपुर, उत्तर भाग पूरब",834,452,382
72,सिंहेश्वर,जिरवा,158,"उत्क्रांमित मध्य विद्यालय, निशिहरपुर, दक्षिण भाग पश्चिम",900,447,453
72,सिंहेश्वर,जिरवा,159,"उत्क्रमित मध्य विद्यालय, निशिहरपुर, दक्षिण भाग पूरब",821,411,410
72,सिंहेश्वर,दुलार,16,"उत्क्रमित मध्य विद्यालय पिपराही नं0-1, पुरव, दायां भाग",838,437,401
72,सिंहेश्वर,शंकरपुर,160,"उत्क्रांमित मध्य विद्यालय, बलवा दाया भाग",649,322,327
72,सिंहेश्वर,शंकरपुर,161,"उत्क्रमित मध्य विद्यालय, बलवा बायां भाग",628,329,299
72,सिंहेश्वर,शंकरपुर,162,"मध्य विद्यालय, शंकरपुर, बायां भाग",851,449,402
72,सिंहेश्वर,जिरवा,163,"मध्य विद्यालय, शंकरपुर, दायां भाग",877,453,424
72,सिंहेश्वर,जिरवा,164,"प्राथमिक विद्यालय, सोनवर्षा, दायाँ भाग उत्तर",1186,614,572
72,सिंहेश्वर,जिरवा,165,"प्राथमिक विद्यालय, सोनवर्षा, बायां भाग पूरब भवन",973,529,444
72,सिंहेश्वर,जिरवा,166,"उर्दु प्राथमिक विद्यालय, डी0एस0पी0 टोला",776,381,395
72,सिंहेश्वर,मौजमा,167,"उत्क्रांमित मध्य विद्यालय, मौजमा, दक्षिण भाग",760,402,358
72,सिंहेश्वर,मौजमा,168,"उत्क्रांमित मध्य विद्यालय, मौजमा, उत्तर भाग",752,350,402
72,सिंहेश्वर,हिरोलवा,169,"प्राथमिक विद्यालय, हिरोलवा दाया भाग",1111,580,531
72,सिंहेश्वर,पिपराही,17,"उत्क्रमित मध्य विद्यालय, पिपराही न0-2 बायां भाग",962,506,456
72,सिंहेश्वर,मौजमा,170,"उत्क्रांमित मध्य विद्यालय, जीरवा बायां भाग",1087,533,553
72,सिंहेश्वर,मौजमा,171,"उत्क्रांमित मध्य विद्यालय, जीरवा दायां भाग",1019,528,491
72,सिंहेश्वर,मधेली बाजार,172,"कारी अनन्त उच्च विद्यालय, मधैली दक्षिण, बायां भाग",954,505,449
72,सिंहेश्वर,मधेली बाजार,173,"कारी अनन्त उच्च विद्यालय, मधैली दक्षिण, दायां भाग",762,403,359
72,सिंहेश्वर,मधेली बाजार,174,"कारी अनन्त उच्च विद्यालय, मधैली उत्तर, बायां भाग",1101,564,537
72,सिंहेश्वर,मधेली बाजार,175,"कारी अनन्त उच्च विद्यालय, मधैली उत्तर, दायां भाग",678,338,340
72,सिंहेश्वर,मधेली बाजार,176,"सीता कन्या प्राथमिक विद्यालय, मधैली",888,443,445
72,सिंहेश्वर,अरताहा,177,"उत्क्रांमित मध्य विद्यालय, अरताहा वायाँ भाग पश्चिम",1078,566,512
72,सिंहेश्वर,रायभीर,178,"उत्क्रांमित मध्य विद्यालय अरताहा, दायाँ भाग",1085,582,503
72,सिंहेश्वर,रायभीर,179,"मध्य विद्यालय, रायभीर, उत्तर भाग पूरब",1081,574,507
